Gene_ID,Genebank
gene0,100690050
gene1,102082062
gene3,100693279
gene4,100693812
gene5,100690318
gene6,100694086
gene7,100694626
gene9,100694358
gene10,100690588
gene11,109202177
gene12,100694887
gene13,100695157
gene14,112846004
gene15,112844225
gene17,109202179
gene18,112845980
gene21,109202180
gene24,102080836
gene25,100712311
gene26,102081337
gene27,109202034
gene28,112847367
gene29,100711965
gene30,100708568
gene32,100711694
gene33,100711423
gene34,100708298
gene35,100711153
gene37,100708027
gene38,102079351
gene39,100707758
gene40,100710887
gene41,102081252
gene45,100710622
gene46,109204165
gene47,109204169
gene49,100707491
gene50,100706965
gene52,100707227
gene53,100710356
gene54,100710093
gene55,100706694
gene56,100706427
gene57,100709823
gene58,112846720
gene59,109204282
gene60,100706166
gene61,100709553
gene62,100709286
gene63,109202039
gene64,100705898
gene65,109204292
gene66,100709014
gene67,112846941
gene71,100690862
gene72,109202014
gene74,109203590
gene75,112847368
gene79,100691126
gene80,100695681
gene81,102076095
gene82,100695948
gene83,100696207
gene86,109202656
gene87,100696472
gene88,100696741
gene89,100691394
gene90,100697009
gene91,100691664
gene92,100697279
gene93,102077706
gene94,106098772
gene96,100698347
gene97,100698080
gene98,100693012
gene99,100692739
gene100,100692470
gene101,100692200
gene102,100697813
gene103,100697541
gene104,102078312
gene106,100691932
gene107,109194287
gene108,106097953
gene109,100712071
gene110,102080419
gene111,100711534
gene112,100701342
gene113,100701069
gene117,109199457
gene118,112847531
gene119,100706963
gene120,100706692
gene121,109199456
gene122,102076931
gene123,100706164
gene124,100706425
gene125,100691051
gene126,112847737
gene128,109195670
gene130,100692126
gene131,100690785
gene132,100690510
gene133,100691858
gene134,112847372
gene135,100691590
gene136,100691318
gene137,100690082
gene139,100693131
gene141,100710429
gene143,112847995
gene144,100701400
gene145,100710695
gene146,100710960
gene147,100711229
gene148,100711501
gene149,100699437
gene150,102083084
gene151,100699707
gene152,100699972
gene153,100700241
gene154,100700518
gene155,100698369
gene156,100700783
gene157,100701053
gene160,100701326
gene162,102082777
gene163,100701596
gene164,100698633
gene165,100701872
gene167,100700676
gene169,100700941
gene171,100704911
gene172,109202691
gene173,100705180
gene174,106098917
gene178,100705450
gene179,109204947
gene180,109202045
gene181,109204980
gene182,109202059
gene183,102081039
gene184,100706236
gene185,106098913
gene186,112847375
gene188,102080225
gene189,100701401
gene190,100701672
gene192,100701948
gene193,100699059
gene194,100699329
gene196,100702482
gene197,100699600
gene198,100702753
gene199,100703021
gene201,100699863
gene202,100703294
gene203,100703563
gene204,100703837
gene205,100700131
