Gene stable ID	Transcript stable ID	NCBI gene (formerly Entrezgene) ID	Gene name
ENSG00000210049	ENST00000387314		MT-TF
ENSG00000211459	ENST00000389680		MT-RNR1
ENSG00000210077	ENST00000387342		MT-TV
ENSG00000210082	ENST00000387347		MT-RNR2
ENSG00000209082	ENST00000386347		MT-TL1
ENSG00000198888	ENST00000361390	4535	MT-ND1
ENSG00000210100	ENST00000387365		MT-TI
ENSG00000210107	ENST00000387372		MT-TQ
ENSG00000210112	ENST00000387377		MT-TM
ENSG00000198763	ENST00000361453	4536	MT-ND2
ENSG00000210117	ENST00000387382		MT-TW
ENSG00000210127	ENST00000387392		MT-TA
ENSG00000210135	ENST00000387400		MT-TN
ENSG00000210140	ENST00000387405		MT-TC
ENSG00000210144	ENST00000387409		MT-TY
ENSG00000198804	ENST00000361624	4512	MT-CO1
ENSG00000210151	ENST00000387416	113219467	MT-TS1
ENSG00000210154	ENST00000387419		MT-TD
ENSG00000198712	ENST00000361739	4513	MT-CO2
ENSG00000210156	ENST00000387421		MT-TK
ENSG00000228253	ENST00000361851	4509	MT-ATP8
ENSG00000198899	ENST00000361899	4508	MT-ATP6
ENSG00000198938	ENST00000362079	4514	MT-CO3
ENSG00000210164	ENST00000387429		MT-TG
ENSG00000198840	ENST00000361227	4537	MT-ND3
ENSG00000210174	ENST00000387439		MT-TR
ENSG00000212907	ENST00000361335	4539	MT-ND4L
ENSG00000198886	ENST00000361381	4538	MT-ND4
ENSG00000210176	ENST00000387441		MT-TH
ENSG00000210184	ENST00000387449		MT-TS2
ENSG00000210191	ENST00000387456		MT-TL2
ENSG00000198786	ENST00000361567	4540	MT-ND5
ENSG00000198695	ENST00000361681	4541	MT-ND6
ENSG00000210194	ENST00000387459		MT-TE
ENSG00000198727	ENST00000361789	4519	MT-CYB
ENSG00000210195	ENST00000387460		MT-TT
ENSG00000210196	ENST00000387461		MT-TP
ENSG00000278457	ENST00000620265		5S_rRNA
ENSG00000271254	ENST00000614336	102724250	
ENSG00000271254	ENST00000612640	102724250	
ENSG00000273947	ENST00000616520	3804	KIR2DL3
ENSG00000273918	ENST00000622649		
ENSG00000276820	ENST00000616175	3802	KIR2DL1
ENSG00000275151	ENST00000614589		
ENSG00000275593	ENST00000613250		KIR3DP1
