98275 GFF lines processed.
100000 BAM alignment records processed.
200000 BAM alignment records processed.
300000 BAM alignment records processed.
400000 BAM alignment records processed.
500000 BAM alignment records processed.
600000 BAM alignment records processed.
700000 BAM alignment records processed.
800000 BAM alignment records processed.
900000 BAM alignment records processed.
1000000 BAM alignment records processed.
1100000 BAM alignment records processed.
1200000 BAM alignment records processed.
1300000 BAM alignment records processed.
1400000 BAM alignment records processed.
1500000 BAM alignment records processed.
1600000 BAM alignment records processed.
1700000 BAM alignment records processed.
1800000 BAM alignment records processed.
1900000 BAM alignment records processed.
2000000 BAM alignment records processed.
2100000 BAM alignment records processed.
2200000 BAM alignment records processed.
2300000 BAM alignment records processed.
2400000 BAM alignment records processed.
2500000 BAM alignment records processed.
2600000 BAM alignment records processed.
2700000 BAM alignment records processed.
2800000 BAM alignment records processed.
2900000 BAM alignment records processed.
3000000 BAM alignment records processed.
3100000 BAM alignment records processed.
3200000 BAM alignment records processed.
3300000 BAM alignment records processed.
3400000 BAM alignment records processed.
3500000 BAM alignment records processed.
3600000 BAM alignment records processed.
3700000 BAM alignment records processed.
3800000 BAM alignment records processed.
3900000 BAM alignment records processed.
4000000 BAM alignment records processed.
4100000 BAM alignment records processed.
4200000 BAM alignment records processed.
4300000 BAM alignment records processed.
4400000 BAM alignment records processed.
4500000 BAM alignment records processed.
4600000 BAM alignment records processed.
4700000 BAM alignment records processed.
4800000 BAM alignment records processed.
4900000 BAM alignment records processed.
5000000 BAM alignment records processed.
5100000 BAM alignment records processed.
5200000 BAM alignment records processed.
5300000 BAM alignment records processed.
5400000 BAM alignment records processed.
5500000 BAM alignment records processed.
5600000 BAM alignment records processed.
5700000 BAM alignment records processed.
5800000 BAM alignment records processed.
5900000 BAM alignment records processed.
6000000 BAM alignment records processed.
6100000 BAM alignment records processed.
6200000 BAM alignment records processed.
6300000 BAM alignment records processed.
6400000 BAM alignment records processed.
6500000 BAM alignment records processed.
6600000 BAM alignment records processed.
6700000 BAM alignment records processed.
6800000 BAM alignment records processed.
6900000 BAM alignment records processed.
7000000 BAM alignment records processed.
7100000 BAM alignment records processed.
7200000 BAM alignment records processed.
7300000 BAM alignment records processed.
7400000 BAM alignment records processed.
7500000 BAM alignment records processed.
7600000 BAM alignment records processed.
7700000 BAM alignment records processed.
7800000 BAM alignment records processed.
7900000 BAM alignment records processed.
8000000 BAM alignment records processed.
8100000 BAM alignment records processed.
8200000 BAM alignment records processed.
8300000 BAM alignment records processed.
8400000 BAM alignment records processed.
8500000 BAM alignment records processed.
8600000 BAM alignment records processed.
8700000 BAM alignment records processed.
8800000 BAM alignment records processed.
8900000 BAM alignment records processed.
9000000 BAM alignment records processed.
9100000 BAM alignment records processed.
9200000 BAM alignment records processed.
9300000 BAM alignment records processed.
9400000 BAM alignment records processed.
9500000 BAM alignment records processed.
9600000 BAM alignment records processed.
9700000 BAM alignment records processed.
9800000 BAM alignment records processed.
9900000 BAM alignment records processed.
10000000 BAM alignment records processed.
10100000 BAM alignment records processed.
10200000 BAM alignment records processed.
10300000 BAM alignment records processed.
10400000 BAM alignment records processed.
10500000 BAM alignment records processed.
10600000 BAM alignment records processed.
10700000 BAM alignment records processed.
10800000 BAM alignment records processed.
10900000 BAM alignment records processed.
11000000 BAM alignment records processed.
11100000 BAM alignment records processed.
11200000 BAM alignment records processed.
11300000 BAM alignment records processed.
11400000 BAM alignment records processed.
11500000 BAM alignment records processed.
11600000 BAM alignment records processed.
11700000 BAM alignment records processed.
11800000 BAM alignment records processed.
11900000 BAM alignment records processed.
12000000 BAM alignment records processed.
12100000 BAM alignment records processed.
12200000 BAM alignment records processed.
12300000 BAM alignment records processed.
12400000 BAM alignment records processed.
12500000 BAM alignment records processed.
12600000 BAM alignment records processed.
12700000 BAM alignment records processed.
12800000 BAM alignment records processed.
12900000 BAM alignment records processed.
13000000 BAM alignment records processed.
13100000 BAM alignment records processed.
13200000 BAM alignment records processed.
13300000 BAM alignment records processed.
13400000 BAM alignment records processed.
13500000 BAM alignment records processed.
13600000 BAM alignment records processed.
13700000 BAM alignment records processed.
13800000 BAM alignment records processed.
13900000 BAM alignment records processed.
14000000 BAM alignment records processed.
14100000 BAM alignment records processed.
14200000 BAM alignment records processed.
14217983 BAM alignments  processed.
